,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR
10,Bridgeport,44415.54918,18489.81336,15951.39889,3866.906911,536.0267983,3542.022567,3622.392102,2462.905501,1916.687716,2179.090268,5732.345557,4640.679831,993.8363893,513.1960508,166.1247824,5722.114679,6402.082569,1933.724965,32375.70633,12124.19725,10737.91236,9256.123041,635.0,10749.36506,33694,31977,2014
11,Brighton Park,37593.37793,20610.0,17731.0,3835.0,168.0,5744.0,3468.0,559.0,1913.229245,1094.0,6011.0,4948.0,1095.0,662.0,36.0,5307.0,6265.0,2238.0,44148.0,11572.0,3625.0,37203.0,568.0,2718.0,44912,45368,2014
12,Burnside,26343.01493,1450.0,1181.0,730.0,23.0,196.0,120.0,184.0,1948.181818,229.0,220.0,540.0,223.0,52.0,0.0,580.0,476.0,208.0,3508.0,1056.0,20.0,0.0,3488.0,0.0,3294,2916,2014
13,Calumet Heights,55616.82957,6450.0,5159.0,4687.0,135.0,655.0,443.0,191.0,1952.714589,340.0,1602.0,3024.0,987.0,198.0,31.0,4377.0,1209.0,565.0,14382.0,5586.0,195.0,601.0,13487.0,14.0,15974,13812,2014
14,Chatham,30572.34821,15154.92314,11516.60609,5288.916811,758.237435,1752.601386,4096.746967,5118.386482,1945.686071,5070.365685,5542.261698,4621.694974,1465.566724,363.0,43.0,5201.693957,8910.555556,2949.239168,33271.52711,14112.24951,178.9472892,158.0,32442.21762,23.0,37275,31028,2014
15,Chicago Lawn,34480.19437,22746.0,18860.0,8290.0,185.0,4080.0,2924.0,3537.0,1948.166667,3471.0,6121.0,6283.0,2057.0,1112.0,57.0,6869.0,8547.0,3628.0,54807.0,15416.0,1900.0,22881.0,29311.0,439.0,61412,55628,2014
16,Clearing,56587.63292,12434.0,11250.0,5431.0,622.0,530.0,787.0,1797.0,1960.2677,964.0,2389.0,4440.0,1072.0,309.0,48.0,6346.0,2043.0,785.0,22716.0,8389.0,11775.0,10460.0,121.0,184.0,22331,23139,2014
17,Douglas,33301.22642,9641.0,7890.0,688.0,707.0,306.0,431.0,8564.0,1962.442405,5116.0,3278.0,1599.0,595.0,138.0,41.0,1875.0,7135.0,1716.0,19098.0,9010.0,2271.0,570.0,13686.0,2335.0,26470,18238,2014
18,Dunning,61440.6507,24019.0,21611.0,10585.0,596.0,1393.0,1061.0,2454.0,1952.233704,2018.0,5370.0,5916.0,2024.0,817.0,242.0,11475.0,3666.0,1004.0,42115.0,15141.0,29975.0,9706.0,426.0,1617.0,42164,41932,2014
19,East Garfield Park,25108.48712,7267.930136,5823.73061,1170.952055,320.9917808,2401.771233,2519.749315,2558.479452,1919.620587,1837.771233,2771.606849,3156.649315,884.9219178,321.9945205,114.0,1856.809359,5038.043328,2077.850685,21308.13736,6894.852686,661.9005329,367.7489639,20035.74364,92.0,20881,20567,2014
20,East Side,42536.27516,10219.98929,8978.389395,4674.48577,271.7042145,1919.766291,809.6935818,167.9254658,1943.650457,336.8073481,2443.760396,3632.043373,1040.488823,414.4753834,0.0,4697.856912,2193.623936,975.7184265,23482.52405,6891.480849,4077.432561,18581.38119,636.0,100.7102987,23653,23042,2014
21,Edgewater,42646.29284,34461.0,31269.0,2126.0,394.0,2166.0,3048.0,24549.0,1945.316602,17924.0,8989.0,4167.0,796.0,436.0,648.0,11363.0,17747.0,3202.0,55333.0,29110.0,29573.0,9019.0,8114.0,6733.0,62198,56521,2014
22,Edison Park,83025.7145,6307.007287,5881.798154,3369.415265,29.59492864,77.375,221.516055,1189.239934,1952.567052,585.8012232,1446.418578,1696.228211,882.5592508,276.1339195,33.0,3649.600059,915.2125122,322.9445719,11031.17494,4564.812571,10171.98633,491.7447178,0.0,241.5116618,11328,11187,2014
23,Englewood,19102.82696,10166.0,7289.0,3318.0,449.0,5333.0,2265.0,3343.0,1941.273247,2643.0,4575.0,5043.0,1505.0,987.0,8.0,2904.0,6899.0,4950.0,28824.0,9803.0,170.0,275.0,28076.0,13.0,40222,30654,2014
24,Forest Glen,90884.46373,9880.852134,9209.251905,5873.606452,255.5483871,406.0,228.0,383.0,1951.719766,385.0,1727.625806,3507.406452,1208.554839,317.5677419,27.0,5973.099099,829.7882883,341.8258065,18563.29122,6802.887387,13368.94915,2409.294299,300.0,2211.934515,18165,18508,2014
25,Fuller Park,15979.40459,1127.690782,752.4529398,319.9219713,36.78644764,508.8747433,209.3408624,494.2320329,1951.546153,510.9240246,407.301848,449.8932238,119.9425051,106.0944559,21.0,395.3684211,775.2631579,419.3264887,2994.659426,1170.631579,102.71218,176.4840962,2678.0,26.15593483,3420,2876,2014
26,Gage Park,38258.51047,18510.0,15138.0,4804.0,58.0,2829.0,1851.0,827.0,1926.178905,1211.0,3709.0,3631.0,1073.0,808.0,115.0,5302.0,4103.0,1027.0,39492.0,9405.0,1872.0,35456.0,1745.0,400.0,39193,39894,2014
27,Garfield Ridge,60706.38933,17784.0,15780.0,10271.0,324.0,620.0,592.0,897.0,1955.942584,837.0,2804.0,6465.0,1827.0,799.0,63.0,9961.0,1967.0,780.0,33894.0,11928.0,17953.0,13184.0,1933.0,628.0,36101,34513,2014
28,Grand Boulevard,30154.15419,11351.0,8574.0,1184.0,741.0,939.0,3540.0,5803.0,1956.651439,3240.0,3450.0,3811.0,1167.0,565.0,84.0,2767.0,7111.0,2355.0,23151.0,9878.0,944.0,698.0,21091.0,60.0,28006,21929,2014
29,Greater Grand Crossing,29254.15489,14645.0,11270.0,4770.0,236.0,4565.0,3118.0,3582.0,1926.728813,3668.0,5598.0,4775.0,1349.0,901.0,71.0,4458.0,8147.0,3686.0,32873.0,12605.0,324.0,451.0,31659.0,25.0,38619,32602,2014
30,Hegewisch,45178.05814,4346.010706,3928.610605,2537.51423,100.2957855,597.2337088,370.3064182,185.0745342,1956.152472,185.1926519,1207.239604,1753.956627,723.5111766,183.5246166,0.0,2740.143088,962.3760637,351.2815735,10202.47595,3702.519151,3990.567439,5189.618814,933.0,17.28970126,9781,9426,2014
31,Hermosa,41201.41713,12902.0,11208.0,2220.0,31.0,2616.0,2309.0,696.0,1918.537753,1211.0,3163.0,2496.0,693.0,359.0,82.0,3110.0,3960.0,852.0,25068.0,7070.0,1974.0,22612.0,196.0,111.0,26908,25010,2014
32,Humboldt Park,29778.33107,22120.0,18299.0,4049.0,204.0,7510.0,5108.0,3601.0,1914.047546,5022.0,6542.0,6435.0,1503.0,980.0,714.0,5910.0,10868.0,3704.0,54351.0,16778.0,3009.0,27823.0,22680.0,147.0,65836,56323,2014
33,Hyde Park,47980.73969,14826.0,13577.0,744.0,971.0,139.0,1257.0,11713.0,1925.592908,6853.0,3693.0,2581.0,1168.0,529.0,145.0,4669.0,7870.0,2285.0,26541.0,12539.0,12446.0,1578.0,8851.0,2847.0,29920,25681,2014
34,Irving Park,51154.86605,32547.0,29259.0,5465.0,550.0,4961.0,4477.0,7072.0,1914.32259,5342.0,9272.0,5144.0,1775.0,992.0,289.0,9760.0,10417.0,2348.0,56513.0,20177.0,24229.0,25449.0,1668.0,4004.0,58643,53359,2014
